date,trend_slug,trend_label,average_relative_interest,countries_available,start_date,months_from_start
2012-07-01,camelbak_water_bottle,CamelBak,0.00980392156862745,6,2012-02-01,5
2012-07-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-95
2012-07-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-73
2012-07-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-121
2012-07-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-122
2012-07-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-73
2012-08-01,camelbak_water_bottle,CamelBak,0.010204081632653062,6,2012-02-01,6
2012-08-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-94
2012-08-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-72
2012-08-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-120
2012-08-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-121
2012-08-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-72
2012-09-01,camelbak_water_bottle,CamelBak,0.010416666666666666,6,2012-02-01,7
2012-09-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-93
2012-09-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-71
2012-09-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-119
2012-09-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-120
2012-09-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-71
2012-10-01,camelbak_water_bottle,CamelBak,0.007575757575757576,6,2012-02-01,8
2012-10-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-92
2012-10-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-70
2012-10-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-118
2012-10-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-119
2012-10-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-70
2012-11-01,camelbak_water_bottle,CamelBak,0.008130081300813009,6,2012-02-01,9
2012-11-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-91
2012-11-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-69
2012-11-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-117
2012-11-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-118
2012-11-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-69
2012-12-01,camelbak_water_bottle,CamelBak,0.008333333333333333,6,2012-02-01,10
2012-12-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-90
2012-12-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-68
2012-12-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-116
2012-12-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-117
2012-12-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-68
2013-01-01,camelbak_water_bottle,CamelBak,0.011904761904761904,6,2012-02-01,11
2013-01-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-89
2013-01-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-67
2013-01-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-115
2013-01-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-116
2013-01-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-67
2013-02-01,camelbak_water_bottle,CamelBak,0.010638297872340427,6,2012-02-01,12
2013-02-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-88
2013-02-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-66
2013-02-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-114
2013-02-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-115
2013-02-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-66
2013-03-01,camelbak_water_bottle,CamelBak,0.010204081632653062,6,2012-02-01,13
2013-03-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-87
2013-03-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-65
2013-03-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-113
2013-03-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-114
2013-03-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-65
2013-04-01,camelbak_water_bottle,CamelBak,0.013763763763763764,6,2012-02-01,14
2013-04-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-86
2013-04-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-64
2013-04-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-112
2013-04-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-113
