date,owala,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2019-03-01,0,26,False,owala,Owala,owala,water bottle,AU,Australia
2019-04-01,0,25,False,owala,Owala,owala,water bottle,AU,Australia
2019-05-01,0,28,False,owala,Owala,owala,water bottle,AU,Australia
2019-06-01,0,27,False,owala,Owala,owala,water bottle,AU,Australia
2019-07-01,0,25,False,owala,Owala,owala,water bottle,AU,Australia
2019-08-01,0,27,False,owala,Owala,owala,water bottle,AU,Australia
2019-09-01,0,28,False,owala,Owala,owala,water bottle,AU,Australia
2019-10-01,0,28,False,owala,Owala,owala,water bottle,AU,Australia
2019-11-01,0,34,False,owala,Owala,owala,water bottle,AU,Australia
2019-12-01,0,38,False,owala,Owala,owala,water bottle,AU,Australia
2020-01-01,0,35,False,owala,Owala,owala,water bottle,AU,Australia
2020-02-01,0,30,False,owala,Owala,owala,water bottle,AU,Australia
2020-03-01,0,23,False,owala,Owala,owala,water bottle,AU,Australia
2020-04-01,0,23,False,owala,Owala,owala,water bottle,AU,Australia
2020-05-01,0,28,False,owala,Owala,owala,water bottle,AU,Australia
2020-06-01,0,27,False,owala,Owala,owala,water bottle,AU,Australia
2020-07-01,0,26,False,owala,Owala,owala,water bottle,AU,Australia
2020-08-01,0,28,False,owala,Owala,owala,water bottle,AU,Australia
2020-09-01,0,29,False,owala,Owala,owala,water bottle,AU,Australia
2020-10-01,0,33,False,owala,Owala,owala,water bottle,AU,Australia
2020-11-01,0,32,False,owala,Owala,owala,water bottle,AU,Australia
2020-12-01,0,34,False,owala,Owala,owala,water bottle,AU,Australia
2021-01-01,0,38,False,owala,Owala,owala,water bottle,AU,Australia
2021-02-01,0,33,False,owala,Owala,owala,water bottle,AU,Australia
2021-03-01,0,30,False,owala,Owala,owala,water bottle,AU,Australia
2021-04-01,0,29,False,owala,Owala,owala,water bottle,AU,Australia
2021-05-01,0,31,False,owala,Owala,owala,water bottle,AU,Australia
2021-06-01,0,30,False,owala,Owala,owala,water bottle,AU,Australia
2021-07-01,0,29,False,owala,Owala,owala,water bottle,AU,Australia
2021-08-01,0,32,False,owala,Owala,owala,water bottle,AU,Australia
2021-09-01,0,33,False,owala,Owala,owala,water bottle,AU,Australia
2021-10-01,0,34,False,owala,Owala,owala,water bottle,AU,Australia
2021-11-01,0,40,False,owala,Owala,owala,water bottle,AU,Australia
2021-12-01,0,38,False,owala,Owala,owala,water bottle,AU,Australia
2022-01-01,0,50,False,owala,Owala,owala,water bottle,AU,Australia
2022-02-01,0,50,False,owala,Owala,owala,water bottle,AU,Australia
2022-03-01,0,46,False,owala,Owala,owala,water bottle,AU,Australia
2022-04-01,0,42,False,owala,Owala,owala,water bottle,AU,Australia
2022-05-01,0,44,False,owala,Owala,owala,water bottle,AU,Australia
2022-06-01,0,44,False,owala,Owala,owala,water bottle,AU,Australia
2022-07-01,0,46,False,owala,Owala,owala,water bottle,AU,Australia
2022-08-01,0,51,False,owala,Owala,owala,water bottle,AU,Australia
2022-09-01,0,47,False,owala,Owala,owala,water bottle,AU,Australia
2022-10-01,1,50,False,owala,Owala,owala,water bottle,AU,Australia
2022-11-01,1,61,False,owala,Owala,owala,water bottle,AU,Australia
2022-12-01,0,71,False,owala,Owala,owala,water bottle,AU,Australia
2023-01-01,1,68,False,owala,Owala,owala,water bottle,AU,Australia
2023-02-01,0,69,False,owala,Owala,owala,water bottle,AU,Australia
2023-03-01,1,71,False,owala,Owala,owala,water bottle,AU,Australia
2023-04-01,1,55,False,owala,Owala,owala,water bottle,AU,Australia
2023-05-01,1,60,False,owala,Owala,owala,water bottle,AU,Australia
2023-06-01,1,55,False,owala,Owala,owala,water bottle,AU,Australia
2023-07-01,1,53,False,owala,Owala,owala,water bottle,AU,Australia
2023-08-01,4,57,False,owala,Owala,owala,water bottle,AU,Australia
2023-09-01,3,56,False,owala,Owala,owala,water bottle,AU,Australia
2023-10-01,3,60,False,owala,Owala,owala,water bottle,AU,Australia
2023-11-01,9,81,False,owala,Owala,owala,water bottle,AU,Australia
2023-12-01,9,90,False,owala,Owala,owala,water bottle,AU,Australia
2024-01-01,10,83,False,owala,Owala,owala,water bottle,AU,Australia
2024-02-01,14,73,False,owala,Owala,owala,water bottle,AU,Australia
2024-03-01,12,63,False,owala,Owala,owala,water bottle,AU,Australia
2024-04-01,13,60,False,owala,Owala,owala,water bottle,AU,Australia
2024-05-01,11,60,False,owala,Owala,owala,water bottle,AU,Australia
2024-06-01,12,60,False,owala,Owala,owala,water bottle,AU,Australia
2024-07-01,13,55,False,owala,Owala,owala,water bottle,AU,Australia
2024-08-01,20,62,False,owala,Owala,owala,water bottle,AU,Australia
2024-09-01,16,59,False,owala,Owala,owala,water bottle,AU,Australia
2024-10-01,16,62,False,owala,Owala,owala,water bottle,AU,Australia
2024-11-01,23,83,False,owala,Owala,owala,water bottle,AU,Australia
2024-12-01,24,97,False,owala,Owala,owala,water bottle,AU,Australia
2025-01-01,19,78,False,owala,Owala,owala,water bottle,AU,Australia
2025-02-01,20,71,False,owala,Owala,owala,water bottle,AU,Australia
2025-03-01,19,64,False,owala,Owala,owala,water bottle,AU,Australia
2025-04-01,16,59,False,owala,Owala,owala,water bottle,AU,Australia
