date,hydro flask,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2015-09-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-10-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-11-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-12-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-01-01,0,5,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-02-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-03-01,0,5,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-04-01,0,5,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-05-01,0,5,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-06-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-07-01,0,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-08-01,0,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-09-01,0,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-10-01,0,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-11-01,0,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2016-12-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-01-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-02-01,0,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-03-01,0,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-04-01,0,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-05-01,0,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-06-01,0,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-07-01,0,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-08-01,0,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-09-01,0,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-10-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-11-01,0,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2017-12-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-01-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-02-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-03-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-04-01,0,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-05-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-06-01,0,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-07-01,1,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-08-01,0,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-09-01,0,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-10-01,1,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-11-01,1,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2018-12-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-01-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-02-01,0,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-03-01,0,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-04-01,1,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-05-01,2,11,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-06-01,2,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-07-01,4,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-08-01,9,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-09-01,10,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-10-01,7,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-11-01,7,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2019-12-01,6,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-01-01,4,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-02-01,3,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-03-01,2,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-04-01,2,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-05-01,2,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
