date,yeti tumbler,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2020-01-01,0,44,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-02-01,0,46,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-03-01,0,48,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-04-01,0,30,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-05-01,1,34,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-06-01,0,44,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-07-01,0,39,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-08-01,0,48,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-09-01,0,45,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-10-01,0,46,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-11-01,0,45,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2020-12-01,1,54,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-01-01,0,43,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-02-01,0,45,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-03-01,0,52,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-04-01,0,45,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-05-01,1,45,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-06-01,1,44,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-07-01,0,55,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-08-01,0,55,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-09-01,0,49,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
